Epoch,Train_Box_Loss,Train_Cls_Loss,Train_DFL_Loss,Val_Box_Loss,Val_Cls_Loss,Val_DFL_Loss
1,1.9137019057738243,1.8083732000722454,1.8689081892548152,1.804880530276197,2.0260216860060996,1.7090425060150471
2,1.4411163570761965,1.2155502846291966,1.434676633311564,1.543405274127392,1.325797179911999,1.4768323010586677
3,1.2898730588922025,1.0258329451225716,1.3265985760156447,1.2844889569789806,1.0496594817080396,1.3200422880497384
4,1.208035459569401,0.9280039771435663,1.2694373538545078,1.2506316139342937,0.9669127629158345,1.2927200210855363
5,1.1423900777257254,0.8545256814877381,1.2288998937380287,1.2188622266688245,0.9248401801636879,1.2763735892924857
6,1.0926105973273161,0.7976454463820559,1.1957074092289615,1.1606649312567203,0.9332417871089692,1.2424882117738114
7,1.0498411097605835,0.7543681394176075,1.1692683420668306,1.1239288981924667,0.8134522197094369,1.2247317725039544
8,1.014505625903748,0.7129239230427776,1.146083164101825,1.1175100055146725,0.8062757938466174,1.2200111607287794
9,0.9849238915284853,0.6816322833228847,1.1280552876533636,1.0710081699046683,0.7474594344484046,1.1876786896523008
10,0.9534290411693184,0.6565102586553668,1.108599900491447,1.1543082214416343,0.8271159580413331,1.2209768523561193
11,0.9333542053036905,0.6396432837511185,1.0978711769869662,1.0868384559103783,0.7594291884848412,1.1932573293117767
12,0.9193235642836383,0.621637779077838,1.088815819622502,1.0539858074898416,0.7267003148160083,1.1799128727709993
13,0.8923183482786256,0.5988367052655889,1.0727424451687557,1.0286479389413874,0.7353009657656893,1.1577159470700202
14,0.8775871388985822,0.5882488647719177,1.06490925216335,1.0201439756028197,0.7074160360275431,1.1677032734485382
15,0.8657860508157635,0.5744643842805875,1.0562470047037844,1.0275045519179486,0.6932101351149539,1.1657822778884401
16,0.8515254811266539,0.5635933202122849,1.0479848207883766,1.0163189844882234,0.6749840112442665,1.1595916494410088
17,0.6880504439392452,0.45020247638367134,0.9721760017854867,0.8593473814903422,0.5457707313781089,1.0848396775570321
18,0.6300577324529725,0.4150913846181294,0.944778085745995,0.8565320854491376,0.5382980932580664,1.0853869496507849
19,0.6030216970947746,0.4017101301150197,0.9327085264504947,0.8542395449699239,0.536432000550818,1.0862668549760859
20,0.5825101858504877,0.3921890118626121,0.9230004679278919,0.8514569845605404,0.5305229114725235,1.0872759819030762
21,0.5651394537961965,0.3837637133949443,0.9161681530028227,0.84701410506634,0.5286137975276785,1.0875712557041899
22,0.5504090635906772,0.3763573197316104,0.9097722004258434,0.84973499369114,0.528022050857544,1.0946730248471523
23,0.5182768718788573,0.36147348310205546,0.8997762285332216,0.8431949793024266,0.5261419497905894,1.0900869978235124
24,0.5124395139993229,0.3597825240352658,0.8979082348227784,0.8430027441775545,0.5246627216643476,1.0908455645784418
25,0.5097807218937862,0.3586805873415532,0.8970186904320524,0.8415584538845305,0.5253414733612791,1.0910668271653197
26,0.5069854609190426,0.3576275854948864,0.8958527380666936,0.8416046183160011,0.5248690786513877,1.0911677467062117
27,0.5034753557763587,0.3560215033006781,0.8950246902372945,0.841707465496469,0.5242191914548265,1.0916863984250007
28,0.50156291406115,0.35536394995635023,0.8939756538692393,0.8420535161140117,0.5245334087534154,1.0923763297973794
29,0.5001392108952348,0.3545025767594788,0.8932372543987356,0.8415874775419844,0.5253458105503245,1.0917144582626668
30,0.49860949393122894,0.3532771145363035,0.8927203593797751,0.8418300608371166,0.5238378669353242,1.0927734856909894
